NKBA,NKBA,,,5
Night,Noc,,,34
not,ne,,,19
never,nikdy,,,18
Number,?íslo,,,7
nearly,tém??,,,7
network,sí?,,,7
navigating,navigování,,,5
needed,pot?eboval,,,6
noise,hluk,,,3
notes,poznámky,,,3
news,zprávy,,,4
navigational,naviga?ní,,,3
named,jmenoval,,,2
Netflix,Netflix,,,2
natural,p?írodní,,,2
no,Ne,,,11
Nickelodeon,Nickelodeon,,,1
nothing,nic,,,2
now,nyní,,,14
needs,pot?eby,,,2
necessarily,nezbytn?,,,1
non-revolving,neoto?ný,,,1
names,jména,,,1
nationally,národn?,,,
Nations,národy,,,4
nationwide,celostátní,,,
native,rodák,,,
nature,P?íroda,,,3
navigate,navigovat,,,
near,u,,,5
necessary,nutné,,,
neighborhood,sousedství,,,1
Netherlands,Holandsko,,,
Networking,vytvá?ení sítí,,,
newarrivlas,newarrivlas,,,
nobody,nikdo,,,
non-fiction,literatura faktu,,,
non-governmental,nevládní,,,
nonprofits,neziskové organizace,,,1
normal.,normální.,,,
normally,normáln?,,,
Norway,Norsko,,,
notice,oznámení,,,
NPD,NPD,,,
nonfiction,literatura faktu,,,2
Novel,román,,,2
Nicks,Nicks,,,1
Nirvana,Nirvána,,,2
naval,námo?ní,,,1
Nathaniel,Nathaniel,,,4
None,Žádný,,,1
North,Severní,,,3
nodes,uzly,,,1
newly,nov?,,,1
nonnative,nep?vodní,,,1
nearby,poblíž,,,1
negative,negativní,,,1
next,další,,,3
numbers,?ísla,,,1
neon,neonové,,,1
Natasha,Natasha,,,1
notable,pozoruhodný,,,1
nice,p?kný,,,1
Nashville,Nashville,,,1
networked,zasí?ované,,,1
NGOs,nevládní organizace,,,1
newest,nejnov?jší,,,1
