,,,,
us,nás,,,16
ultimately,nakonec,,,5
updates,aktualizace,,,5
users,uživatel?,,,4
until,až do,,,2
unexpected,neo?ekávané,,,1
upfront,p?edem,,,1
understanding,porozum?ní,,,2
UK,Spojené království,,,2
Ultrasonic,Ultrazvukový,,,
unable,neschopný,,,1
uncomfortable,nep?íjemný,,,
under,pod,,,
UNICEF.,UNICEF.,,,
unique,unikátní,,,2
United,Sjednocený,,,6
units,Jednotky,,,
unlock,odemknout,,,
"unloved,",nemilovaný,,,
unreasonably,bezd?vodn?,,,
"unwanted,",necht?ný,,,
"up,",nahoru,,,
upcoming,nadcházející,,,1
upon,na,,,
UPS,UPS,,,
urban,m?stský,,,
USA,USA,,,
USB,USB,,,
uses,používá,,,3
underrepresented,nedostate?n? zastoupené,,,3
uplifting,povznášející,,,1
underserved,nedostate?n? obsluhovaný,,,1
used,použitý,,,4
unpopulated,neobydlený,,,1
unwieldy,nepraktický,,,1
utility,utility,,,1
unfair,nespravedlivé,,,1
unsolicited,nevyžádaný,,,1
uncertain,nejistý,,,1
unemployed,bez práce,,,1
using,použitím,,,5
university,univerzita,,,1
USAID,TY JSI ?EKL,,,6
underscores,podtržítka,,,2
uphold,prosazovat,,,1
