Banana,,,,
Video,Video,,,31
veteran,veterán,,,5
valued,cen?ný,,,5
Apple,vizuály,,,3
Orange,hlas,,,3
Tomato,Raj?e,,,1
Lemon,viditelnost,,,1
Lime,vitální,,,1
vision,vid?ní,,,2
visit,návšteva,,,4
visor,hledí,,,1
vehicle,vozidlo,,,1
viral,virový,,,1
v4,v4,,,
value,hodnota,,,11
vantage,výhoda,,,
variety,odruda,,,2
various,rozli?ný,,,1
vast,rozlehlý,,,1
VATS,DPH,,,
Veeam,Veeam,,,
Vegas,Vegas,,,
ventilation,v?trání,,,
very,velmi,,,8
Vice,Sverák,,,3
view,Pohled,,,1
vigorously,rázn?,,,
Vikse,Vikse,,,
vintage,vinobraní,,,
"Virginia,","Virginie,",,,
virtual,virtuální,,,2
virtually.,prakticky.,,,
"visit,","návšt?va,",,,
visiting,hostující,,,3
visitors,návšt?vník?,,,
visualizes,vizualizuje,,,
volume-based,na základ? objemu,,,
Volunteering,Dobrovolnictví,,,
volunteers,dobrovolníci,,,1
vibrant,vibrující,,,1
voices,hlasy,,,1
ventures,podnik,,,1
vinyl,vinyl,,,1
visible,viditelné,,,1
vessel,plavidlo,,,1
Ventura,Ventura,,,1
valley,údolí,,,1
viewed,zhlédnuto,,,1
velvet,samet,,,1
vases,vázy,,,1
vest,vesta,,,1
Vietnam,Vietnam,,,2
